Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ScenarioAwal,Chrome 70.0.3538.102,,2018-11-22 16:46:40,2018-11-22 16:47:55,1m - 15.101s,PASSED
,,,,,,
Test Cases/Test Case,Chrome 70.0.3538.102,,2018-11-22 16:46:40,2018-11-22 16:47:55,1m - 14.581s,PASSED
openBrowser,Chrome 70.0.3538.102,Open Browser,2018-11-22 16:46:41,2018-11-22 16:46:57,16.728s,PASSED
waitForPageLoad,Chrome 70.0.3538.102,,2018-11-22 16:46:57,2018-11-22 16:46:58,0.125s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-22 16:46:58,2018-11-22 16:46:59,1.149s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 16:46:59,2018-11-22 16:47:02,3.044s,PASSED
Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementVisible(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(kumparan/dismisspopUP))),Chrome 70.0.3538.102,Dismiss Popup,2018-11-22 16:47:02,2018-11-22 16:47:05,3.269s,PASSED
click,Chrome 70.0.3538.102,Login Using Facebook,2018-11-22 16:47:05,2018-11-22 16:47:05,0.226s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:47:05,2018-11-22 16:47:06,0.264s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-22 16:47:06,2018-11-22 16:47:06,0.056s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:47:06,2018-11-22 16:47:09,2.983s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:47:09,2018-11-22 16:47:09,0.182s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:47:09,2018-11-22 16:47:10,1.452s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 16:47:10,2018-11-22 16:47:13,3.003s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-22 16:47:13,2018-11-22 16:47:13,0.029s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-22 16:47:13,2018-11-22 16:47:13,0.117s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:47:13,2018-11-22 16:47:14,0.357s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 16:47:14,2018-11-22 16:47:17,3.006s,PASSED
scrollToElement,Chrome 70.0.3538.102,,2018-11-22 16:47:17,2018-11-22 16:47:17,0.194s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:47:17,2018-11-22 16:47:17,0.214s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-22 16:47:17,2018-11-22 16:47:24,7.080s,PASSED
click,Chrome 70.0.3538.102,Login Using Google,2018-11-22 16:47:24,2018-11-22 16:47:25,0.315s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:47:25,2018-11-22 16:47:25,0.293s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-22 16:47:25,2018-11-22 16:47:25,0.041s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:47:25,2018-11-22 16:47:29,3.816s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:47:29,2018-11-22 16:47:29,0.412s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 16:47:29,2018-11-22 16:47:32,3.003s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:47:32,2018-11-22 16:47:32,0.340s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:47:32,2018-11-22 16:47:33,0.208s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 16:47:33,2018-11-22 16:47:36,3.002s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-22 16:47:36,2018-11-22 16:47:36,0.051s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-22 16:47:36,2018-11-22 16:47:39,3.259s,PASSED
click,Chrome 70.0.3538.102,See News,2018-11-22 16:47:39,2018-11-22 16:47:40,0.585s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 16:47:40,2018-11-22 16:47:43,3.003s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:47:43,2018-11-22 16:47:43,0.354s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 16:47:43,2018-11-22 16:47:48,5.002s,PASSED
scrollToElement,Chrome 70.0.3538.102,Put Comment,2018-11-22 16:47:48,2018-11-22 16:47:48,0.114s,PASSED
verifyElementVisible,Chrome 70.0.3538.102,,2018-11-22 16:47:48,2018-11-22 16:47:48,0.070s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:47:48,2018-11-22 16:47:49,0.502s,PASSED
verifyElementClickable,Chrome 70.0.3538.102,,2018-11-22 16:47:49,2018-11-22 16:47:49,0.063s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:47:49,2018-11-22 16:47:49,0.215s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 16:47:49,2018-11-22 16:47:54,5.003s,PASSED
closeBrowser,Chrome 70.0.3538.102,Close Browser,2018-11-22 16:47:54,2018-11-22 16:47:55,0.913s,PASSED
