Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ScenarioAwal,Chrome 70.0.3538.102,,2018-11-22 16:42:23,2018-11-22 16:43:39,1m - 15.328s,PASSED
,,,,,,
Test Cases/Test Case,Chrome 70.0.3538.102,,2018-11-22 16:42:24,2018-11-22 16:43:39,1m - 14.742s,PASSED
openBrowser,Chrome 70.0.3538.102,Open Browser,2018-11-22 16:42:25,2018-11-22 16:42:40,15.628s,PASSED
waitForPageLoad,Chrome 70.0.3538.102,,2018-11-22 16:42:40,2018-11-22 16:42:40,0.190s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-22 16:42:40,2018-11-22 16:42:41,1.157s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 16:42:41,2018-11-22 16:42:45,3.049s,PASSED
Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementVisible(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(kumparan/dismisspopUP))),Chrome 70.0.3538.102,Dismiss Popup,2018-11-22 16:42:45,2018-11-22 16:42:48,3.313s,PASSED
click,Chrome 70.0.3538.102,Login Using Facebook,2018-11-22 16:42:48,2018-11-22 16:42:48,0.217s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:42:48,2018-11-22 16:42:48,0.297s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-22 16:42:48,2018-11-22 16:42:48,0.058s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:42:48,2018-11-22 16:42:56,7.385s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:42:56,2018-11-22 16:42:56,0.179s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:42:56,2018-11-22 16:42:57,1.354s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 16:42:57,2018-11-22 16:43:00,3.003s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-22 16:43:00,2018-11-22 16:43:00,0.018s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-22 16:43:00,2018-11-22 16:43:01,0.383s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:43:01,2018-11-22 16:43:01,0.279s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 16:43:01,2018-11-22 16:43:04,3.003s,PASSED
scrollToElement,Chrome 70.0.3538.102,,2018-11-22 16:43:04,2018-11-22 16:43:04,0.193s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:43:04,2018-11-22 16:43:04,0.171s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-22 16:43:04,2018-11-22 16:43:09,4.859s,PASSED
click,Chrome 70.0.3538.102,Login Using Google,2018-11-22 16:43:09,2018-11-22 16:43:09,0.181s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:43:09,2018-11-22 16:43:10,0.243s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-22 16:43:10,2018-11-22 16:43:10,0.017s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:43:10,2018-11-22 16:43:13,3.118s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:43:13,2018-11-22 16:43:13,0.253s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 16:43:13,2018-11-22 16:43:16,3.003s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:43:16,2018-11-22 16:43:16,0.274s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:43:16,2018-11-22 16:43:17,0.172s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 16:43:17,2018-11-22 16:43:20,3.002s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-22 16:43:20,2018-11-22 16:43:20,0.058s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-22 16:43:20,2018-11-22 16:43:23,3.477s,PASSED
click,Chrome 70.0.3538.102,See News,2018-11-22 16:43:23,2018-11-22 16:43:23,0.376s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 16:43:23,2018-11-22 16:43:26,3.005s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:43:26,2018-11-22 16:43:27,0.264s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 16:43:27,2018-11-22 16:43:32,5.004s,PASSED
scrollToElement,Chrome 70.0.3538.102,Put Comment,2018-11-22 16:43:32,2018-11-22 16:43:32,0.125s,PASSED
verifyElementVisible,Chrome 70.0.3538.102,,2018-11-22 16:43:32,2018-11-22 16:43:32,0.072s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:43:32,2018-11-22 16:43:32,0.484s,PASSED
verifyElementClickable,Chrome 70.0.3538.102,,2018-11-22 16:43:32,2018-11-22 16:43:32,0.080s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:43:32,2018-11-22 16:43:33,0.264s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 16:43:33,2018-11-22 16:43:38,5.003s,PASSED
closeBrowser,Chrome 70.0.3538.102,Close Browser,2018-11-22 16:43:38,2018-11-22 16:43:39,0.948s,PASSED
