Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ScenarioAwal,Chrome 70.0.3538.102,,2018-11-22 16:30:51,2018-11-22 16:32:05,1m - 13.240s,PASSED
,,,,,,
Test Cases/Test Case,Chrome 70.0.3538.102,,2018-11-22 16:30:52,2018-11-22 16:32:05,1m - 12.347s,PASSED
openBrowser,Chrome 70.0.3538.102,Open Browser,2018-11-22 16:30:53,2018-11-22 16:31:06,13.483s,PASSED
waitForPageLoad,Chrome 70.0.3538.102,,2018-11-22 16:31:06,2018-11-22 16:31:07,0.675s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-22 16:31:07,2018-11-22 16:31:08,1.193s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 16:31:08,2018-11-22 16:31:11,3.043s,PASSED
Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementVisible(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(kumparan/dismisspopUP))),Chrome 70.0.3538.102,Dismiss Popup,2018-11-22 16:31:11,2018-11-22 16:31:14,3.286s,PASSED
click,Chrome 70.0.3538.102,Login Using Facebook,2018-11-22 16:31:14,2018-11-22 16:31:15,0.218s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:31:15,2018-11-22 16:31:15,0.300s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-22 16:31:15,2018-11-22 16:31:15,0.044s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:31:15,2018-11-22 16:31:19,3.579s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:31:19,2018-11-22 16:31:19,0.182s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:31:19,2018-11-22 16:31:20,1.337s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 16:31:20,2018-11-22 16:31:23,3.003s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-22 16:31:23,2018-11-22 16:31:23,0.027s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-22 16:31:23,2018-11-22 16:31:23,0.073s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:31:23,2018-11-22 16:31:24,0.291s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 16:31:24,2018-11-22 16:31:27,3.003s,PASSED
scrollToElement,Chrome 70.0.3538.102,,2018-11-22 16:31:27,2018-11-22 16:31:27,0.104s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:31:27,2018-11-22 16:31:27,0.156s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-22 16:31:27,2018-11-22 16:31:36,9.345s,PASSED
click,Chrome 70.0.3538.102,Login Using Google,2018-11-22 16:31:36,2018-11-22 16:31:36,0.197s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:31:36,2018-11-22 16:31:37,0.238s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-22 16:31:37,2018-11-22 16:31:37,0.042s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:31:37,2018-11-22 16:31:39,2.206s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:31:39,2018-11-22 16:31:39,0.235s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 16:31:39,2018-11-22 16:31:42,3.004s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:31:42,2018-11-22 16:31:42,0.273s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:31:42,2018-11-22 16:31:43,0.167s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 16:31:43,2018-11-22 16:31:46,3.003s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-22 16:31:46,2018-11-22 16:31:46,0.052s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-22 16:31:46,2018-11-22 16:31:49,3.164s,PASSED
click,Chrome 70.0.3538.102,See News,2018-11-22 16:31:49,2018-11-22 16:31:49,0.353s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 16:31:49,2018-11-22 16:31:52,3.003s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:31:52,2018-11-22 16:31:52,0.261s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 16:31:52,2018-11-22 16:31:57,5.003s,PASSED
scrollToElement,Chrome 70.0.3538.102,Put Comment,2018-11-22 16:31:57,2018-11-22 16:31:57,0.118s,PASSED
verifyElementVisible,Chrome 70.0.3538.102,,2018-11-22 16:31:57,2018-11-22 16:31:58,0.064s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 16:31:58,2018-11-22 16:31:58,0.584s,PASSED
verifyElementClickable,Chrome 70.0.3538.102,,2018-11-22 16:31:58,2018-11-22 16:31:58,0.070s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 16:31:58,2018-11-22 16:31:58,0.240s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-22 16:31:58,2018-11-22 16:32:03,5.002s,PASSED
closeBrowser,Chrome 70.0.3538.102,Close Browser,2018-11-22 16:32:03,2018-11-22 16:32:05,1.066s,PASSED
